"Cleaned Port","Country","Lat","Lng","Frequency","Wikidata ID"
"Academy Bay","Ecuador","-0.7520153","-90.3018673","2","Q2822217"
"Acajutla","El Salvador","13.5957","-89.8270894","2","Q937292"
"Acapulco","Mexico","16.8639515","-99.8822807","26","Q81398"
"Alameda","USA","37.7798721","-122.2821855","5","Q490744"
"Alexandria","Egypt","31.2000924","29.9187387","1","Q87"
"Algiers","Algeria","36.753768","3.0587561","1","Q3561"
"Amapala","Honduras","13.2916538","-87.6519473","1","Q605984"
"Anchorage","USA","61.2175758","-149.8996785","1","Q2111634"
"Annapolis","USA","38.9784453","-76.4921829","1","Q937338"
"Antofagasta","Chile","-23.6509279","-70.3975022","1","Q3612"
"Apia","Samoa","-13.831609","-171.7689086","2","Q36260"
"Apra Harbor","Guam","13.455407","144.6451455","7","Q125799367"
"Astoria","USA","46.1878841","-123.8312534","2","Q490724"
"Attu/Adak","USA","51.8667982","-176.6385354","1","Q79371"
"Auckland","New Zealand","-36.8508827","174.7644881","11","Q37100"
"Bahía de Todos Santos","Mexico","31.7953617","-116.6789163","2","Q4843113"
"Balboa","Panama","8.9613962","-79.5631537","37","Q2078026"
"Barbados","Barbados","13.193887","-59.543198","1","Q30151210"
"Barcelona","Spain","41.3873974","2.168568","4","Q1492"
"Bethlehem Shipyard","USA","37.760744","-122.384447","3",""
"Bitung","Indonesia","1.4446154","125.1871713","1","Q12476462"
"Boston","USA","42.3600825","-71.0588801","2","Q2496879"
"Brisbane","Australia","-27.4704528","153.0260341","5","Q34932"
"Buenaventura","Colombia","3.8830471","-77.0197212","1","Q996581"
"Buenos Aires","Argentina","-34.6036844","-58.3815591","2","Q1486"
"Busan","South Korea","35.1731121","129.0714122","6","Q16520"
"Cabo San Lucas","Mexico","22.8948129","-109.9152149","8","Q1020776"
"Cairns","Australia","-16.9203476","145.7709529","2","Q189133"
"Caldera","Costa Rica","9.9400553","-84.7276382","2","Q1026433"
"California City","USA","35.125801","-117.9859038","1","Q732125"
"Callao","Peru","-12.0511717","-77.1256883","19","Q105037"
"Cartagena","Colombia","10.3932277","-75.4832311","2","Q657461"
"Cebu City","Philippines","10.3156992","123.8854366","2","Q1467"
"Cedros Island","Mexico","28.1901766","-115.2126293","4","Q527959"
"Channel Islands","USA","34.15600512","-119.2299255","1","Q1062262"
"Charlotte Amalie","Virgin Islands","18.3418571","-64.93106","2","Q51681"
"Chi-lung Chiang","Taiwan","25.13888064","121.7508907","1","Q699334"
"Cocos Island","Costa Rica","5.5282283","-87.0574302","5","Q215081"
"Colón","Panama","9.359302","-79.8998608","1","Q12825018"
"Colonia","Micronesia","9.516379","138.1222007","2","Q631152"
"Columbo","Ceylon","6.9270786","79.861243","1","Q35381"
"Coos Bay","USA","43.3672213","-124.2131325","1","Q913266"
"Crescent City","USA","41.7557501","-124.2025913","1","Q166866"
"Cristóbal","Panama","9.350599","-79.901527","14","Q80777"
"Curaçao","Curaçao","12.16957","-68.99002","4","Q25279"
"Da Nang","Vietnam","16.0544068","108.2021667","1","Q25282"
"Dalian","China","38.9139899","121.6147","1","Q74881"
"Dutch Harbor","USA","53.8945552","-166.5400929","1","Q8194086"
"Easter Island","Chile","-27.112723","-109.3496865","1","Q115116609"
"Ensenada","Mexico","31.8667427","-116.5963713","1","Q656189"
"Eureka","USA","40.8020712","-124.1636729","4","Q482398"
"Farallon Islands","USA","37.6985723","-123.0022067","3","Q1396187"
"Fiji","Fiji","-17.713371","178.065032","1","Q712"
"Funchal","Portugal","32.6506129","-16.9082357","2","Q25444"
"Galapagos Islands","Ecuador","-0.3831059168","-90.42333443","9","Q38095"
"Galveston","USA","29.3013479","-94.7976958","1","Q135744"
"Genoa","Italy","44.4071448","8.9347381","1","Q1449"
"George Town","Cayman Islands","19.2965778","-81.3819158","2","Q172996"
"Gibraltar","Gibraltar","40.463667","-3.74922","2","Q1410"
"Glacier Bay","USA","58.7","-136.15","1","Q4389292"
"Golfito","Costa Rica","8.6040618","-83.1133792","1","Q949409"
"Guam Coastal","USA","13.5","144.8","1","Q16635"
"Guantánamo","Cuba","20.011737","-75.1216254","1","Q185156"
"Guatemala","Guatemala","15.783471","-90.230759","1","Q774"
"Guayaquil","Ecuador","-2.1891341","-79.8899031","6","Q43509"
"Guaymas","Mexico","27.9110633","-110.9090678","1","Q4151211"
"Gulf of Panama","Panama","8.1731755","-79.560344","3","Q645012"
"Hạ Long","Vietnam","20.9711977","107.0448069","2","Q36077"
"Hampton Roads","USA","36.9338606","-76.3637285","1","Q1011895"
"Harumi","Japan","35.6527438","139.7805445","1","Q11090204"
"Havana","Cuba","23.1135925","-82.3665956","1","Q1563"
"Hilo","USA","19.7216023","-155.084887","14","Q216258"
"Hong Kong","China","22.3193039","114.1693611","9","Q106861520"
"Honiara","Soloman Islands","-9.4306698","159.9526758","1","Q40921"
"Honolulu","USA","21.3098845","-157.8581401","49","Q18094"
"Houston","USA","29.7600771","-95.3701108","2","Q80122"
"Iquique","Chile","-20.2307033","-70.1356692","2","Q14440"
"Isla Roatán","Honduras","16.3297608","-86.5299673","2","Q1419813"
"Isla San Telmo","Panama","8.274444","-78.847778","3","Q21065769"
"Istanbul","Turkey","41.0082376","28.9783589","1","Q406"
"Juneau","USA","58.3004933","-134.4201306","1","Q29445"
"Kahului","USA","20.8893016","-156.4728725","3","Q1012975"
"Kailua-Kona","USA","19.6419129","-155.9962255","4","Q627970"
"Ketchikan","USA","55.3422222","-131.6461111","1","Q43981"
"Kingston","Jamaica","18.0178743","-76.8099041","3","Q34692"
"Kiska","USA","52.0602077","177.5735601","2","Q1096067"
"Kobe","Japan","34.6900806","135.1956311","4","Q48320"
"Kodiak","USA","57.79","-152.4072222","2","Q79985"
"La Unión","El Salvador","13.3323464","-87.8500644","2","Q1130688"
"Lahaina","USA","20.882371","-156.6816195","16","Q1012971"
"Lahaina Roads","USA","20.8676976","-156.7557483","10","Q6473130"
"Lanai","USA","20.8165975","-156.9273193","4","Q187063"
"Lázaro Cárdenas","Mexico","17.9567646","-102.1943485","1","Q1660184"
"Lima","Peru","-12.0466888","-77.0430886","2","Q2868"
"Lisbon","Portugal","38.7222524","-9.1393366","1","Q597"
"Long Beach","USA","33.7700504","-118.1937395","58","Q601477"
"Los Angeles","USA","34.0549076","-118.242643","11","Q65"
"Magdalena Bay","Mexico","24.583333","-112","11","Q803682"
"Majuro Atoll","Marshall Islands","7.066667","171.266667","1","Q14523617"
"Manila","Philippines","14.5995124","120.9842195","3","Q1461"
"Manzanillo","Mexico","19.0536292","-104.3170724","7","Q739908"
"MARAD fleet","USA","38.0781856","-122.0723816","1",""
"Marseille","France","43.3025742","5.3690743","2","Q23482"
"Martinez","USA","38.0193657","-122.1341321","1","Q506439"
"Mazatlan","Mexico","23.2494148","-106.4111425","9","Q111387432"
"Melbourne","Australia","-37.8136276","144.9630576","1","Q3141"
