"New Sort","Original Sort","Year","Trip","Ship","Comments","Transit","Arrival","Departure","Port","Port City","Port State","Port Country","Area","Original Date Span","Original Complete Port","","","","","","","","","",""
"1","1","1932-1","First","California State","","","12/31/31","","0","California City","California","USA","","12/31/31","California City","","","","","","","","","",""
"2","2","","","","","","01/15/32","01/17/32","2","Balboa","","Panama","","15-17 Jan 32","Balboa, Panama","","","","","","","","","",""
"3","3","","","","anchored at Las Perlas Islands","0","01/17/32","01/18/32","1","St. Elmo Bay","","Panama","","17-18 Jan 32","St. Elmo Bay, Panama","","","","","","","","","",""
"4","4","","","","","6","01/24/32","01/27/32","3","Callao","","Peru","","24-27 Jan 32","Callao, Peru","","","","","","","","","",""
"5","5","","","","and Santiago (by train)","6","02/02/32","02/08/32","6","Valparaiso","","Chile","","02-08 Feb 32","Valparaiso, Chile","","","","","","","","","",""
"6","6","","","","Straits of Magellan","4","02/12/32","02/16/32","4","Punta Arenas, Chile","","Chile","","12-16 Feb 32","Punta Arenas, Chile","","","","","","","","","",""
"7","7","","","","","7","02/23/32","02/27/32","4","Buenos Aries","","Argentina","","23-27 Feb 32","Buenos Aries, Argentina","","","","","","","","","",""
"8","8","","","","","0","02/27/32","03/01/32","3","Montevideo","","Uruguay","","27 Feb-01 Mar 32","Montevideo, Uruguay","","","","","","","","","",""
"9","9","","","","","5","03/06/32","03/13/32","7","Rio de Janeiro","","Brazil","","06-13 Mar 32","Rio de Janeiro, Brazil","","","","","","","","","",""
"10","10","","","","Cancelled","3","03/16/32","03/17/32","1","Pernambuco","","","","16-17 Mar 32","Pernambuco","","","","","","","","","",""
"11","11","","","","Cancelled","10","03/27/32","03/28/32","1","Barbados","","Barbados","","27-28 Mar 32","Barbadoes","","","","","","","","","",""
"12","12","","","","","-2","03/26/32","03/27/32","1","Port of Spain"," B.W.I.","Trinidad","","26-27 Mar 32","Port of Spain, Trinidad, B.W.I.","","","","","","","","","",""
"13","13","","","","paint ship","8","04/04/32","04/05/32","1","Hampton Roads","Virginia","USA","","04-05 Apr 32","Hampton Roads, Virginia","","","","","","","","","",""
"14","14","","","","visit with Pres.Hoover","1","04/06/32","04/12/32","6","Washington DC","Washington DC","USA","","06-12 Apr 32","Washington DC","","","","","","","","","",""
"15","15","","","","","2","04/14/32","04/20/32","6","New York City","New York","USA","","14-20 Apr 32","New York City NY","","","","","","","","","",""
"16","16","","","","with brief stop at Balboa","9","04/29/32","05/01/32","2","Cristobal","","Panama","","29 Apr-01 May 32","Cristobal, Panama","","","","","","","","","",""
"17","17","","","","dropped","","","","","Mazatlan","Sinaloa","Mexico","","","Matzalan, Mexico","","","","","","","","","",""
"18","18","","","","","","05/14/32","05/16/32","2","San Diego","California","USA","","14-16 May 32","San Diego, Calif","","","","","","","","","",""
"19","19","","","","","0","05/16/32","05/22/32","6","San Pedro","California","USA","","16-22 May 32","Los Angeles / San Pedro, Calif.","","","","","","","","","",""
"20","20","","","","","0","05/22/32","05/23/32","1","Santa Barbara","California","USA","","22-23 May 32","Santa Barbara","","","","","","","","","",""
"21","21","","","","cancelled due to foul weather","","","","","Monterey","California","USA","","","Monterey, Calif","","","","","","","","","",""
"22","22","","","","cancelled due to foul weather","","","","","Eureka","California","USA","","","Eureka, Calif.","","","","","","","","","",""
"23","23","","","","21,642 miles","","05/25/32","05/25/32","0","Tiburon","California","USA","","05/25/32","Tiburon, Calif","","","","","","","","","",""
"24","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","26","1932-2","Mini-Cruise","California State","","","09/26/32","09/26/32","0","Tiburon","California","USA","","09/26/32","Tiburon","","","","","","","","","",""
